
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WTHB-FM     |96.9  MHz |FM |245 |ND  |-                   |C3 |-  |LIC    |WRENS                    |GA |US |BLH    -20070123ABV |6.2    kW |6.2    kW |121.0   |121.0   |15849      |N |33 |15 |32.20 |W |82  |19 |10.10 |PERRY BROADCASTING OF AUGUSTA, INC.                                         |   0.00 km |   0.00 mi |  0.00 deg |241.3  m|241.3  m|-         |-       |1039113 |116.   m|1167794   |
|NEW         |96.9  MHz |FM |245 |ND  |-                   |A  |-  |CP     |REYNOLDS                 |GA |US |BNPED  -20100224ABA |5.     kW |5.     kW |110.0   |110.0   |184736     |N |32 |33 |28.00 |W |84  |5  |38.00 |CALVARY CHAPEL HEARTLAND, INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |236.   m|236.0  m|-         |-       |1044731 |103.   m|1357389   |
|WSRV        |97.1  MHz |FM |246 |ND  |-                   |C  |-  |LIC    |GAINESVILLE              |GA |US |BLH    -19980825KB  |100.   kW |100.   kW |483.0   |483.0   |59970      |N |34 |7  |32.00 |W |83  |51 |32.00 |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |797.   m|797.0  m|-         |-       |1019528 |526.   m|273169    |
|WSRV        |97.1  MHz |FM |246 |ND  |-                   |C1 |-  |CP     |GAINESVILLE              |GA |US |BPH    -20070118ACV |100.   kW |100.   kW |212.0   |212.0   |59970      |N |34 |8  |34.00 |W |84  |0  |11.00 |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |548.   m|548.0  m|-         |-       |1000743 |181.   m|1543932   |
|WVHY        |97.1  MHz |FM |246 |ND  |-                   |A  |-  |CP     |HOMERVILLE               |GA |US |BNPH   -20130724ABW |6.     kW |6.     kW |72.0    |72.0    |191568     |N |31 |5  |52.00 |W |82  |49 |11.00 |VICKERS, VICTOR M                                                           |   0.00 km |   0.00 mi |  0.00 deg |125.   m|125.0  m|-         |-       |1023931 |66.    m|1563941   |
|WAEV        |97.3  MHz |FM |247 |ND  |-                   |C0 |-  |LIC    |SAVANNAH                 |GA |US |BLH    -20020604AAW |100.   kW |100.   kW |396.0   |396.0   |50403      |N |32 |2  |45.00 |W |81  |20 |27.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |402.   m|402.0  m|-         |-       |1032657 |398.   m|604349    |
|WGEX        |97.3  MHz |FM |247 |ND  |-                   |C0 |-  |LIC    |BAINBRIDGE               |GA |US |BMLH   -20110728ADK |100.   kW |100.   kW |304.0   |304.0   |52402      |N |31 |9  |12.00 |W |84  |32 |38.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |348.   m|348.0  m|-         |-       |1053376 |303.   m|1437162   |
|WHLJ-FM     |97.5  MHz |FM |248 |ND  |-                   |A  |-  |LIC    |STATENVILLE              |GA |US |BLH    -20060829BHM |4.2    kW |4.2    kW |119.7   |119.7   |36659      |N |30 |48 |22.00 |W |83  |0  |21.00 |LA TAURUS PRODUCTIONS INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |168.9  m|168.9  m|-         |-       |1230903 |118.9  m|1146397   |
|WUFF-FM     |97.5  MHz |FM |248 |ND  |-                   |A  |-  |LIC    |EASTMAN                  |GA |US |BLH    -20080304ABL |4.62   kW |4.62   kW |113.0   |113.0   |21211      |N |32 |13 |18.00 |W |83  |13 |4.00  |DODGE BROADCASTING, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |211.   m|211.0  m|-         |-       |1019521 |104.   m|1238683   |
|WUMJ        |97.5  MHz |FM |248 |ND  |-                   |C3 |-  |LIC    |FAYETTEVILLE             |GA |US |BLH    -20130605ABH |8.5    kW |8.5    kW |165.0   |165.0   |3105       |N |33 |30 |13.00 |W |84  |34 |58.00 |ROA LICENSES, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |443.   m|443.0  m|-         |-       |1018924 |149.   m|1557572   |
|WMGZ        |97.7  MHz |FM |249 |ND  |-                   |C3 |-  |LIC    |EATONTON                 |GA |US |BLH    -19991018ABS |8.5    kW |8.5    kW |169.0   |169.0   |41993      |N |33 |20 |41.00 |W |83  |13 |41.00 |SOUTHERN STONE BROADCASTING, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |315.   m|315.0  m|29492     |-       |1042957 |117.   m|422206    |
|WWUF        |97.7  MHz |FM |249 |ND  |-                   |A  |-  |LIC    |WAYCROSS                 |GA |US |BLH    -20020723AAX |6.     kW |6.     kW |99.0    |99.0    |71149      |N |31 |11 |5.00  |W |82  |15 |24.00 |MATTOX BROADCASTING, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |132.   m|132.0  m|-         |-       |1222467 |92.    m|607005    |
|WTCQ        |97.7  MHz |FM |249 |ND  |-                   |A  |-  |LIC    |VIDALIA                  |GA |US |BMLH   -20020919AAP |4.3    kW |4.3    kW |118.0   |118.0   |70117      |N |32 |13 |12.00 |W |82  |26 |7.00  |VIDALIA COMMUNICATIONS CORPORATION                                          |   0.00 km |   0.00 mi |  0.00 deg |191.   m|191.0  m|-         |-       |1040864 |105.   m|611084    |
|WGPB        |97.7  MHz |FM |249 |DA  |-                   |C3 |-  |LIC    |ROME                     |GA |US |BMLED  -20080407ABR |4.2    kW |4.2    kW |241.0   |241.0   |6797       |N |34 |14 |5.00  |W |85  |13 |48.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |459.   m|459.0  m|15058     |0.      |-       |44.    m|1241907   |
|WTTY        |97.7  MHz |FM |249 |ND  |-                   |A  |-  |CP     |TY TY                    |GA |US |BNPH   -20120509AFC |4.1    kW |4.1    kW |121.0   |121.0   |190401     |N |31 |38 |22.00 |W |83  |44 |58.00 |ALEX MEDIA, INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |229.   m|229.0  m|-         |-       |1221051 |107.   m|1503161   |
|WMGZ        |97.7  MHz |FM |249 |ND  |-                   |C1 |-  |CP     |LEXINGTON                |GA |US |BPH    -20070416ACW |100.   kW |100.   kW |154.0   |154.0   |41993      |N |33 |51 |28.00 |W |83  |5  |45.00 |SOUTHERN STONE BROADCASTING, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |338.   m|338.0  m|-         |-       |1039147 |139.   m|1560799   |
|WMGZ        |97.7  MHz |FM |249 |ND  |-                   |C1 |-  |APP    |LEXINGTON                |GA |US |BMPH   -20140127AJD |90.    kW |90.    kW |89.4    |89.4    |41993      |N |33 |47 |3.00  |W |82  |51 |43.00 |SOUTHERN STONE BROADCASTING, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |248.   m|248.0  m|-         |-       |-       |54.    m|1619327   |
|WIBB-FM     |97.9  MHz |FM |250 |ND  |-                   |C3 |-  |LIC    |FORT VALLEY              |GA |US |BMLH   -19990112KB  |10.5   kW |10.5   kW |152.0   |152.0   |64652      |N |32 |34 |12.00 |W |83  |45 |26.00 |AMFM RADIO LICENSES, L.L.C.                                                 |   0.00 km |   0.00 mi |  0.00 deg |271.   m|271.0  m|-         |-       |1023274 |134.   m|279807    |
|WDMG-FM     |97.9  MHz |FM |250 |ND  |-                   |A  |-  |LIC    |AMBROSE                  |GA |US |BLH    -20041104AUI |3.5    kW |3.5    kW |96.4    |96.4    |39473      |N |31 |31 |51.00 |W |82  |54 |34.00 |BROADCAST SOUTH, LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |178.3  m|178.3  m|-         |-       |1244755 |100.6  m|1020139   |
|WMGP        |98.1  MHz |FM |251 |DA  |-                   |C3 |-  |LIC    |HOGANSVILLE              |GA |US |BLH    -19990927AAJ |25.    kW |25.    kW |100.0   |100.0   |39619      |N |33 |3  |54.00 |W |84  |57 |23.00 |CITICASTERS LICENSES, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |326.   m|326.0  m|15207     |0.      |1022901 |113.   m|400640    |
|WEDB        |98.1  MHz |FM |251 |ND  |-                   |C3 |-  |LIC    |EAST DUBLIN              |GA |US |BLH    -20050309ABQ |9.6    kW |9.6    kW |160.0   |160.0   |54832      |N |32 |32 |55.00 |W |82  |38 |49.00 |RADIOJONES, LLC                                                             |   0.00 km |   0.00 mi |  0.00 deg |255.   m|255.0  m|-         |-       |1233238 |148.   m|1050018   |
|WMRZ        |98.1  MHz |FM |251 |ND  |-                   |C3 |-  |LIC    |DAWSON                   |GA |US |BLH    -20050621AAA |25.    kW |25.    kW |79.9    |79.9    |88542      |N |31 |37 |29.00 |W |84  |19 |20.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |155.1  m|155.1  m|-         |-       |1247974 |97.5   m|1069064   |
|WGCO        |98.3  MHz |FM |252 |ND  |-                   |C1 |-  |LIC    |MIDWAY                   |GA |US |BLH    -19900104KA  |100.   kW |100.   kW |299.0   |299.0   |11674      |N |31 |36 |45.00 |W |81  |21 |37.00 |L&L LICENSEE, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |302.   m|302.0  m|-         |-       |-       |297.   m|143467    |
|WCEH-FM     |98.3  MHz |FM |252 |ND  |-                   |A  |-  |LIC    |PINEHURST                |GA |US |BLH    -20050606AEB |3.1    kW |3.1    kW |140.0   |140.0   |60414      |N |32 |10 |3.00  |W |83  |37 |51.00 |GEORGIA EAGLE MEDIA, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |240.7  m|240.7  m|-         |-       |1020418 |134.   m|1066568   |
|WSB-FM      |98.5  MHz |FM |253 |ND  |-                   |C0 |-  |LIC    |ATLANTA                  |GA |US |BLH    -19980903KB  |100.   kW |100.   kW |313.0   |313.0   |73978      |N |33 |45 |33.00 |W |84  |20 |5.00  |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |594.   m|594.0  m|-         |-       |1028278 |292.   m|273584    |
|WLPF        |98.5  MHz |FM |253 |DA  |-                   |A  |-  |LIC    |OCILLA                   |GA |US |BMLED  -20090225AAX |2.3    kW |2.3    kW |159.0   |159.0   |11646      |N |31 |28 |11.00 |W |83  |14 |11.00 |AUGUSTA RADIO FELOWSHIP INSTITUTE, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |243.   m|243.0  m|14468     |0.      |1002824 |146.   m|1297804   |
|WISK-FM     |98.7  MHz |FM |254 |ND  |-                   |C3 |-  |LIC    |AMERICUS                 |GA |US |BLH    -19921013KD  |25.    kW |25.    kW |92.0    |92.0    |63784      |N |32 |4  |51.00 |W |84  |15 |20.00 |SUMTER BROADCASTING CO., INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |216.   m|216.0  m|-         |-       |-       |115.   m|177826    |
|WBTY        |98.7  MHz |FM |254 |ND  |-                   |A  |-  |LIC    |HOMERVILLE               |GA |US |BMLH   -20010820AAO |6.     kW |6.     kW |91.0    |91.0    |61255      |N |31 |2  |4.00  |W |82  |51 |50.00 |SOUTHERN BROADCASTING & INVESTMENT CO., INC.                                |   0.00 km |   0.00 mi |  0.00 deg |148.   m|148.0  m|-         |-       |1200533 |91.    m|578111    |
|WLCZ        |98.7  MHz |FM |254 |ND  |-                   |A  |-  |LIC    |LINCOLNTON               |GA |US |BLH    -20120604ADO |0.48   kW |0.48   kW |129.7   |129.7   |171006     |N |33 |44 |32.00 |W |82  |31 |17.00 |GLORY COMMUNICATIONS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |259.1  m|259.1  m|-         |-       |1207199 |30.5   m|1502547   |
|WLCZ        |98.7  MHz |FM |254 |ND  |-                   |C3 |-  |CP     |LINCOLNTON               |GA |US |BPH    -20130415ABQ |25.    kW |25.    kW |76.1    |76.1    |171006     |N |33 |35 |4.00  |W |82  |32 |43.00 |GLORY COMMUNICATIONS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |209.4  m|209.4  m|-         |-       |1239621 |77.4   m|1533491   |
|WNGH-FM     |98.9  MHz |FM |255 |ND  |-                   |C3 |-  |LIC    |CHATSWORTH               |GA |US |BMLED  -20090615AFD |0.42   kW |0.42   kW |527.0   |527.0   |2309       |N |34 |45 |6.00  |W |84  |42 |54.00 |THE FOUNDATION FOR PUBLIC BROADCASTING IN GEORGIA, INC.                     |   0.00 km |   0.00 mi |  0.00 deg |892.4  m|892.4  m|-         |-       |1018797 |64.6   m|1318035   |
|WWGA        |98.9  MHz |FM |255 |ND  |-                   |A  |-  |LIC    |TALLAPOOSA               |GA |US |BLH    -20100927AAH |1.85   kW |1.85   kW |182.0   |182.0   |183308     |N |33 |39 |3.00  |W |85  |17 |41.00 |WKNG, LLC                                                                   |   0.00 km |   0.00 mi |  0.00 deg |520.   m|520.0  m|-         |-       |1260119 |70.    m|1397225   |
|WDEN-FM     |99.1  MHz |FM |256 |ND  |-                   |C1 |-  |LIC    |MACON                    |GA |US |BLH    -20010530AAX |100.   kW |100.   kW |177.0   |177.0   |46996      |N |32 |45 |51.00 |W |83  |33 |32.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |290.   m|290.0  m|-         |-       |1045776 |139.   m|566716    |
|WCON-FM     |99.3  MHz |FM |257 |ND  |-                   |C2 |-  |LIC    |CORNELIA                 |GA |US |BLH    -19891201KA  |19.    kW |19.    kW |246.0   |246.0   |25814      |N |34 |31 |24.00 |W |83  |40 |46.00 |HABERSHAM BROADCASTING CO.                                                  |   0.00 km |   0.00 mi |  0.00 deg |662.   m|662.0  m|-         |-       |-       |235.   m|136333    |
|WKCN        |99.3  MHz |FM |257 |ND  |-                   |C2 |-  |LIC    |FORT BENNING SOUTH       |GA |US |BLH    -20110411ABS |29.    kW |29.    kW |166.9   |166.9   |54670      |N |32 |27 |59.00 |W |85  |3  |22.00 |PMB BROADCASTING, LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |276.9  m|276.9  m|-         |-       |1255743 |86.9   m|1424511   |
|WBAW-FM     |99.3  MHz |FM |257 |ND  |-                   |C1 |-  |CP     |PEMBROKE                 |GA |US |BPH    -20130412AAF |100.   kW |100.   kW |246.4   |246.4   |54879      |N |32 |7  |36.70 |W |81  |48 |48.10 |BULLIE BROADCASTING CORPORATION                                             |   0.00 km |   0.00 mi |  0.00 deg |281.3  m|281.3  m|-         |-       |1289277 |235.6  m|1598654   |
|WKAA        |99.5  MHz |FM |258 |ND  |-                   |C1 |-  |LIC    |WILLACOOCHEE             |GA |US |BLH    -20080122APF |73.    kW |73.    kW |229.7   |229.7   |71343      |N |31 |10 |18.00 |W |83  |21 |57.00 |SOUTHERN COMMUNICATIONS, LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |302.   m|302.0  m|-         |-       |1017424 |232.8  m|1228470   |
|WWWQ        |99.7  MHz |FM |259 |ND  |-                   |C0 |-  |LIC    |ATLANTA                  |GA |US |BLH    -20030514ABW |100.   kW |100.   kW |340.0   |340.0   |73345      |N |33 |48 |26.00 |W |84  |20 |22.00 |SUSQUEHANNA RADIO CORP.                                                     |   0.00 km |   0.00 mi |  0.00 deg |612.   m|612.0  m|-         |-       |1223132 |348.   m|660254    |
|WSNT-FM     |99.9  MHz |FM |260 |ND  |-                   |A  |-  |LIC    |SANDERSVILLE             |GA |US |BMLH   -19930802KC  |3.     kW |3.     kW |56.0    |56.0    |54830      |N |32 |58 |23.00 |W |82  |48 |34.00 |RADIO STATION WSNT, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |174.   m|174.0  m|-         |-       |-       |41.    m|188725    |
|WNNG-FM     |99.9  MHz |FM |260 |ND  |-                   |A  |-  |LIC    |UNADILLA                 |GA |US |BLH    -19950627KD  |6.     kW |6.     kW |100.0   |100.0   |15309      |N |32 |18 |29.00 |W |83  |46 |30.00 |GEORGIA EAGLE MEDIA, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |212.   m|212.0  m|-         |-       |-       |84.    m|210740    |
|WQMJ        |100.1 MHz |FM |261 |ND  |-                   |A  |-  |LIC    |FORSYTH                  |GA |US |BLH    -6007        |3.     kW |3.     kW |91.0    |91.0    |41990      |N |32 |58 |27.00 |W |83  |52 |2.00  |ROBERTS COMMUNICATIONS, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |246.   m|246.0  m|-         |-       |-       |61.    m|288964    |
|WNSY        |100.1 MHz |FM |261 |ND  |-                   |C3 |-  |LIC    |TALKING ROCK             |GA |US |BLH    -20020128AAS |7.     kW |7.     kW |188.0   |188.0   |78332      |N |34 |37 |50.00 |W |84  |29 |29.00 |DAVIS BROADCASTING OF ATLANTA, L.L.C.                                       |   0.00 km |   0.00 mi |  0.00 deg |666.   m|666.0  m|-         |-       |1047752 |33.    m|592842    |
|WSSJ        |100.1 MHz |FM |261 |ND  |-                   |C2 |-  |LIC    |RINCON                   |GA |US |BLH    -20060419AAG |50.    kW |50.    kW |150.0   |150.0   |54805      |N |32 |16 |49.00 |W |81  |11 |40.00 |SCOTT SAVAGE, RECEIVER                                                      |   0.00 km |   0.00 mi |  0.00 deg |157.   m|157.0  m|-         |-       |1249397 |139.6  m|1126171   |
|WPUP        |100.1 MHz |FM |261 |ND  |-                   |A  |-  |LIC    |WATKINSVILLE             |GA |US |BLH    -20080626ABC |4.3    kW |4.3    kW |88.0    |88.0    |51120      |N |33 |56 |28.00 |W |83  |23 |55.00 |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |311.   m|311.0  m|-         |-       |1064584 |107.   m|1251967   |
